net,length_um
net1,117.32
_143_,103.72
net9,103.02
_102_,98.58
_101_,96.82
net20,94.28
net10,94.115
_099_,91.84
_096_,90.83
_012_,85.265
net7,81.76
_095_,81.3
_015_,77.3
_013_,76.64
net5,74.12
net21,74.12
_115_,73.715
net6,72.7
net17,70.9
net19,70.48
_098_,68.34
_017_,66.32
net8,57.72
net2,56.54
net15,55.18
net22,50.84
net27,50.52
net16,47.26
_039_,42.76
net13,42.75
net18,42.5
_145_,42.04
net25,40.86
net14,39.26
_094_,37.86
net4,37.44
_146_,36.02
net3,35.9
_041_,35.66
net23,32.42
_144_,29.64
net12,28.68
_154_,27.2
_047_,26.9
_092_,26.68
net29,25.36
A[7],21.77
_025_,20.3
_109_,19.88
_127_,17.08
_122_,16.54
_043_,16.42
_163_,16.4
_073_,16.32
_023_,15.67
_033_,15.56
_002_,15.46
_093_,15.46
_138_,15.36
out[6],15.24
_119_,15.08
B[7],14.87
_078_,14.46
_121_,13.32
_149_,13.28
_120_,13.24
_034_,13.08
_077_,12.88
out[5],12.84
_001_,12.8
_053_,12.7
out[4],12.38
net11,12.06
net26,12
out[3],11.92
_124_,11.76
_011_,11.7
_004_,11.62
_046_,11.5
_003_,11.22
opcode[0],11.02
_151_,11
out[0],10.88
out[2],10.88
_058_,10.66
out[1],10.42
out[7],10.42
_032_,10.34
_117_,10.28
_105_,9.78
_100_,9.6
_107_,9.58
_010_,9.52
_085_,9.42
B[0],9.27
_148_,9.26
opcode[1],9.18
opcode[2],9.18
_024_,9.14
_006_,9.12
_008_,9
_106_,8.92
_157_,8.92
_128_,8.9
_103_,8.82
A[0],8.69
_112_,8.58
_159_,8.58
_116_,8.54
_139_,8.48
_131_,8.4
_130_,8.18
_164_,8.12
_134_,8.1
_161_,8.04
_110_,8
_108_,7.9
_135_,7.86
_111_,7.8
_162_,7.78
_009_,7.68
_045_,7.64
_140_,7.54
_044_,7.52
_052_,7.52
_036_,7.44
_113_,7.42
_129_,7.28
_160_,7.24
B[4],7.23
_067_,7.18
_091_,7.12
_057_,7
_158_,6.98
A[4],6.77
B[6],6.55
B[2],6.43
B[1],6.21
A[6],6.09
_123_,6.06
_028_,6.02
_030_,5.98
A[2],5.97
B[5],5.87
_079_,5.82
_118_,5.76
_005_,5.74
_050_,5.74
_064_,5.72
_132_,5.72
_076_,5.48
A[5],5.41
_083_,5.4
_114_,5.26
B[3],5.07
A[1],4.95
_068_,4.94
_029_,4.92
_141_,4.92
_026_,4.9
_040_,4.8
_090_,4.8
A[3],4.61
_022_,4.46
_038_,4.44
_056_,4.36
_065_,4.36
_153_,4.36
_150_,4.34
_137_,4.22
_048_,4.2
_027_,4.14
_054_,4.06
_014_,4.02
_061_,4.02
_000_,4
_037_,4
_074_,4
_031_,3.9
_055_,3.88
_156_,3.88
_066_,3.78
_021_,3.56
_060_,3.52
_016_,3.42
_082_,3.42
net24,3.42
_097_,3.1
_125_,3.1
_063_,3.08
_049_,2.98
_142_,2.98
_070_,2.96
_020_,2.62
_152_,2.62
_018_,2.52
_059_,2.52
_069_,2.52
_062_,2.51
_133_,2.5
_155_,2.5
_084_,2.3
_087_,2.3
_007_,2.16
_088_,2.16
_104_,2.16
_072_,2.06
_042_,2.04
_071_,2.04
_081_,2.04
_126_,2.04
_075_,1.94
_089_,1.84
net28,1.81
_136_,1.7
_147_,1.7
_086_,1.46
_080_,1.26
_051_,1.14
_019_,0.46
_035_,0.46
